Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.63377,18,500,0.025,0.15,-2,-3.2
0.66486,24,500,0.01,0.15,-2,-21.08
0.66842,18,500,0.01,0.15,-2,-25.0
0.66842,18,500,0.01,0.15,-2,-31.7
0.66842,16,500,0.01,0.15,-2,-12.53
0.66842,16,500,0.01,0.15,-2,-22.5
0.66842,18,500,0.01,0.15,-2,-12.53
0.6783,18,700,0.01,0.15,-2,-4.88
0.6784,14,500,0.01,0.15,-2,-17.32
0.6784,14,500,0.01,0.15,-2,-15.0
0.68186,22,500,0.01,0.15,-2,-12.53
0.68731,10,700,0.01,0.15,-2,-12.53
0.68894,10,500,0.01,0.15,-2,-3.2
0.7125,24,500,0.0375,0.15,-2,28.5
0.7185,18,500,0.01,0.15,-2,9.67
0.72659,16,700,0.0375,0.15,-2,102.0
0.73032,22,500,0.0375,0.15,-2,26.19
0.74831,10,700,0.0375,0.15,-2,123.0
0.75627,18,500,0.025,0.15,-2,27.9
0.75627,18,500,0.025,0.15,-2,7.3
0.76702,18,700,0.025,0.15,-2,39.3
0.76713,14,500,0.025,0.15,-2,19.1
0.77089,22,500,0.025,0.15,-2,4.52
0.77798,14,700,0.025,0.15,-2,55.7
0.77798,14,700,0.025,0.15,-2,64.9
0.83111,30,300,0.01,0.15,-7,11.97
0.93215,30,400,0.02,0.1,-7,64.36
1.08048,20,500,0.01,0.15,-7,35.9
1.08546,16,500,0.01,0.15,-7,59.85
1.22225,22,500,0.025,0.15,-7,86.6
