MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.00296,14,500,0.01,0.15,-2,0.02
0.007,30,400,0.02,0.1,-7,0.216
0.01096,10,700,0.01,0.15,-2,0.012
0.01306,16,700,0.0375,0.15,-2,0.12
0.01472,16,500,0.01,0.15,-2,0.012
0.01472,18,500,0.01,0.15,-2,0.012
0.01857,14,700,0.025,0.15,-2,0.1
0.01972,18,500,0.01,0.15,-2,0.007
0.02004,14,500,0.01,0.15,-2,0.043
0.02096,10,500,0.01,0.15,-2,0.002
0.02206,24,500,0.0375,0.15,-2,0.061
0.02362,10,700,0.0375,0.15,-2,0.148
0.02578,18,700,0.01,0.15,-2,0.002
0.02621,18,500,0.025,0.15,-2,0.054
0.03512,24,500,0.01,0.15,-2,0.056
0.04106,22,500,0.0375,0.15,-2,0.042
0.04621,14,500,0.025,0.15,-2,0.034
0.05144,20,500,0.01,0.15,-7,0.105
0.05328,16,500,0.01,0.15,-2,0.08
0.05357,18,700,0.025,0.15,-2,0.135
0.07021,18,500,0.025,0.15,-2,0.01
0.07821,18,500,0.025,0.15,-2,0.002
0.07912,22,500,0.01,0.15,-2,0.012
0.08006,22,500,0.025,0.15,-2,0.003
0.08428,18,500,0.01,0.15,-2,0.111
0.08757,14,700,0.025,0.15,-2,0.169
0.13028,18,500,0.01,0.15,-2,0.157
0.1334,16,500,0.01,0.15,-7,0.178
0.165,22,500,0.025,0.15,-7,0.35
0.21,30,300,0.01,0.15,-7,0.013
