MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.0,18,700,0.025,0.15,-2,0.135
0.00278,10,500,0.01,0.15,-2,0.002
0.0043,14,500,0.025,0.15,-2,0.034
0.00473,20,500,0.01,0.15,-7,0.105
0.005,14,700,0.025,0.15,-2,0.1
0.00596,10,700,0.01,0.15,-2,0.012
0.0123,14,500,0.01,0.15,-2,0.02
0.01743,16,700,0.0375,0.15,-2,0.12
0.01885,22,500,0.025,0.15,-2,0.003
0.01926,16,500,0.01,0.15,-2,0.012
0.01926,18,500,0.01,0.15,-2,0.012
0.02426,18,500,0.01,0.15,-2,0.007
0.02693,24,500,0.01,0.15,-2,0.056
0.028,24,500,0.0375,0.15,-2,0.061
0.0324,18,500,0.025,0.15,-2,0.054
0.03449,18,700,0.01,0.15,-2,0.002
0.03529,14,500,0.01,0.15,-2,0.043
0.04874,16,500,0.01,0.15,-2,0.08
0.062,22,500,0.0375,0.15,-2,0.042
0.064,14,700,0.025,0.15,-2,0.169
0.0745,10,700,0.0375,0.15,-2,0.148
0.0764,18,500,0.025,0.15,-2,0.01
0.07974,18,500,0.01,0.15,-2,0.111
0.0844,18,500,0.025,0.15,-2,0.002
0.08542,22,500,0.01,0.15,-2,0.012
0.0977,30,400,0.02,0.1,-7,0.216
0.12268,16,500,0.01,0.15,-7,0.178
0.12574,18,500,0.01,0.15,-2,0.157
0.16844,30,300,0.01,0.15,-7,0.013
0.20355,22,500,0.025,0.15,-7,0.35
