MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.00304,16,500,0.01,0.15,-2,0.08
0.01696,14,700,0.025,0.15,-2,0.1
0.02196,20,500,0.01,0.15,-7,0.105
0.02204,24,500,0.0375,0.15,-2,0.061
0.02704,24,500,0.01,0.15,-2,0.056
0.02796,18,500,0.01,0.15,-2,0.111
0.02904,18,500,0.025,0.15,-2,0.054
0.03696,16,700,0.0375,0.15,-2,0.12
0.04004,14,500,0.01,0.15,-2,0.043
0.04104,22,500,0.0375,0.15,-2,0.042
0.04904,14,500,0.025,0.15,-2,0.034
0.05196,18,700,0.025,0.15,-2,0.135
0.06304,14,500,0.01,0.15,-2,0.02
0.06496,10,700,0.0375,0.15,-2,0.148
0.07004,30,300,0.01,0.15,-7,0.013
0.07104,16,500,0.01,0.15,-2,0.012
0.07104,18,500,0.01,0.15,-2,0.012
0.07104,10,700,0.01,0.15,-2,0.012
0.07104,22,500,0.01,0.15,-2,0.012
0.07304,18,500,0.025,0.15,-2,0.01
0.07396,18,500,0.01,0.15,-2,0.157
0.07604,18,500,0.01,0.15,-2,0.007
0.08004,22,500,0.025,0.15,-2,0.003
0.08104,18,700,0.01,0.15,-2,0.002
0.08104,18,500,0.025,0.15,-2,0.002
0.08104,10,500,0.01,0.15,-2,0.002
0.08596,14,700,0.025,0.15,-2,0.169
0.09496,16,500,0.01,0.15,-7,0.178
0.13296,30,400,0.02,0.1,-7,0.216
0.26696,22,500,0.025,0.15,-7,0.35
