MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.00047,14,500,0.01,0.15,-2,0.043
0.00445,10,700,0.01,0.15,-2,0.012
0.01789,16,700,0.0375,0.15,-2,0.12
0.01889,24,500,0.01,0.15,-2,0.056
0.02347,14,500,0.01,0.15,-2,0.02
0.02435,20,500,0.01,0.15,-7,0.105
0.0289,10,500,0.01,0.15,-2,0.002
0.03025,16,500,0.01,0.15,-2,0.08
0.03455,14,700,0.025,0.15,-2,0.1
0.03775,16,500,0.01,0.15,-2,0.012
0.03848,18,500,0.025,0.15,-2,0.054
0.03959,18,700,0.01,0.15,-2,0.002
0.04404,18,500,0.01,0.15,-2,0.012
0.04591,14,500,0.025,0.15,-2,0.034
0.04904,18,500,0.01,0.15,-2,0.007
0.05496,18,500,0.01,0.15,-2,0.111
0.05661,22,500,0.01,0.15,-2,0.012
0.05697,18,700,0.025,0.15,-2,0.135
0.06122,16,500,0.01,0.15,-7,0.178
0.06475,10,700,0.0375,0.15,-2,0.148
0.0807,24,500,0.0375,0.15,-2,0.061
0.08248,18,500,0.025,0.15,-2,0.01
0.09048,18,500,0.025,0.15,-2,0.002
0.09341,22,500,0.0375,0.15,-2,0.042
0.09505,30,400,0.02,0.1,-7,0.216
0.10096,18,500,0.01,0.15,-2,0.157
0.10205,22,500,0.025,0.15,-2,0.003
0.10355,14,700,0.025,0.15,-2,0.169
0.16222,30,300,0.01,0.15,-7,0.013
0.17793,22,500,0.025,0.15,-7,0.35
