Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.11493,18,500,0.025,0.15,-2,-3.2
0.31436,24,500,0.01,0.15,-2,-21.08
0.31442,22,500,0.01,0.15,-2,-12.53
0.31452,18,500,0.01,0.15,-2,-25.0
0.31452,18,500,0.01,0.15,-2,-31.7
0.31452,18,500,0.01,0.15,-2,-12.53
0.31458,16,500,0.01,0.15,-2,-12.53
0.31458,16,500,0.01,0.15,-2,-22.5
0.31463,14,500,0.01,0.15,-2,-15.0
0.31463,14,500,0.01,0.15,-2,-17.32
0.31466,18,700,0.01,0.15,-2,-4.88
0.31474,10,500,0.01,0.15,-2,-3.2
0.31488,10,700,0.01,0.15,-2,-12.53
1.14232,16,500,0.01,0.15,-7,59.85
1.14259,20,500,0.01,0.15,-7,35.9
1.14362,30,300,0.01,0.15,-7,11.97
1.30984,18,500,0.01,0.15,-2,9.67
2.0681,30,400,0.02,0.1,-7,64.36
2.21996,22,500,0.025,0.15,-2,4.52
2.22032,18,500,0.025,0.15,-2,27.9
2.22032,18,500,0.025,0.15,-2,7.3
2.22068,14,500,0.025,0.15,-2,19.1
2.22078,18,700,0.025,0.15,-2,39.3
2.22114,14,700,0.025,0.15,-2,64.9
2.22114,14,700,0.025,0.15,-2,55.7
2.43387,22,500,0.025,0.15,-7,86.6
4.68911,24,500,0.0375,0.15,-2,28.5
4.68931,22,500,0.0375,0.15,-2,26.19
4.69043,16,700,0.0375,0.15,-2,102.0
4.69103,10,700,0.0375,0.15,-2,123.0
