MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.00531,16,500,0.01,0.15,-7,0.178
0.00843,18,500,0.01,0.15,-2,0.111
0.01575,14,700,0.025,0.15,-2,0.1
0.02074,16,500,0.01,0.15,-2,0.08
0.0279,24,500,0.0375,0.15,-2,0.061
0.03812,18,500,0.025,0.15,-2,0.054
0.04263,16,700,0.0375,0.15,-2,0.12
0.04507,22,500,0.0375,0.15,-2,0.042
0.04709,18,700,0.025,0.15,-2,0.135
0.05206,24,500,0.01,0.15,-2,0.056
0.05443,18,500,0.01,0.15,-2,0.157
0.05445,14,500,0.025,0.15,-2,0.034
0.0559,14,500,0.01,0.15,-2,0.043
0.07135,20,500,0.01,0.15,-7,0.105
0.07612,10,700,0.0375,0.15,-2,0.148
0.0789,14,500,0.01,0.15,-2,0.02
0.07904,10,700,0.01,0.15,-2,0.012
0.08212,18,500,0.025,0.15,-2,0.01
0.08475,14,700,0.025,0.15,-2,0.169
0.08874,16,500,0.01,0.15,-2,0.012
0.09012,18,500,0.025,0.15,-2,0.002
0.09057,18,500,0.01,0.15,-2,0.012
0.09278,22,500,0.025,0.15,-2,0.003
0.09324,10,500,0.01,0.15,-2,0.002
0.09423,22,500,0.01,0.15,-2,0.012
0.09557,18,500,0.01,0.15,-2,0.007
0.09573,30,400,0.02,0.1,-7,0.216
0.09636,18,700,0.01,0.15,-2,0.002
0.17671,30,300,0.01,0.15,-7,0.013
0.18227,22,500,0.025,0.15,-7,0.35
