Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.13684,24,500,0.01,0.15,-2,-21.08
0.16527,22,500,0.01,0.15,-2,-12.53
0.18461,18,500,0.025,0.15,-2,-3.2
0.23893,18,500,0.01,0.15,-2,-25.0
0.23893,18,500,0.01,0.15,-2,-31.7
0.23893,18,500,0.01,0.15,-2,-12.53
0.28574,16,500,0.01,0.15,-2,-12.53
0.28574,16,500,0.01,0.15,-2,-22.5
0.34026,14,500,0.01,0.15,-2,-15.0
0.34026,14,500,0.01,0.15,-2,-17.32
0.41773,18,700,0.01,0.15,-2,-4.88
0.47543,10,500,0.01,0.15,-2,-3.2
0.61794,10,700,0.01,0.15,-2,-12.53
0.77228,20,500,0.01,0.15,-7,35.9
0.8283,16,500,0.01,0.15,-7,59.85
1.45495,22,500,0.025,0.15,-2,4.52
1.54867,18,500,0.01,0.15,-2,9.67
1.7804,18,500,0.025,0.15,-2,27.9
1.7804,18,500,0.025,0.15,-2,7.3
1.97195,30,300,0.01,0.15,-7,11.97
2.12909,14,500,0.025,0.15,-2,19.1
2.34908,18,700,0.025,0.15,-2,39.3
2.62495,22,500,0.025,0.15,-7,86.6
2.72333,14,700,0.025,0.15,-2,64.9
2.72333,14,700,0.025,0.15,-2,55.7
3.43969,24,500,0.0375,0.15,-2,28.5
3.49804,30,400,0.02,0.1,-7,64.36
3.6371,22,500,0.0375,0.15,-2,26.19
4.88099,16,700,0.0375,0.15,-2,102.0
5.4875,10,700,0.0375,0.15,-2,123.0
