MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.00706,18,700,0.025,0.15,-2,0.135
0.0229,22,500,0.025,0.15,-2,0.003
0.03998,16,700,0.0375,0.15,-2,0.12
0.0777,30,400,0.02,0.1,-7,0.216
0.07812,24,500,0.01,0.15,-2,0.056
0.10206,30,300,0.01,0.15,-7,0.013
0.13049,14,700,0.025,0.15,-2,0.169
0.19132,22,500,0.0375,0.15,-2,0.042
0.19825,20,500,0.01,0.15,-7,0.105
0.19949,14,700,0.025,0.15,-2,0.1
0.20531,22,500,0.025,0.15,-7,0.35
0.20664,16,500,0.01,0.15,-7,0.178
0.2183,18,500,0.025,0.15,-2,0.054
0.2264,22,500,0.01,0.15,-2,0.012
0.22764,18,500,0.01,0.15,-2,0.157
0.23664,10,700,0.0375,0.15,-2,0.148
0.24983,18,700,0.01,0.15,-2,0.002
0.2623,18,500,0.025,0.15,-2,0.01
0.2703,18,500,0.025,0.15,-2,0.002
0.27364,18,500,0.01,0.15,-2,0.111
0.30464,16,500,0.01,0.15,-2,0.08
0.31429,24,500,0.0375,0.15,-2,0.061
0.34164,14,500,0.01,0.15,-2,0.043
0.35064,14,500,0.025,0.15,-2,0.034
0.36464,14,500,0.01,0.15,-2,0.02
0.37264,16,500,0.01,0.15,-2,0.012
0.37264,18,500,0.01,0.15,-2,0.012
0.37264,10,700,0.01,0.15,-2,0.012
0.37764,18,500,0.01,0.15,-2,0.007
0.38264,10,500,0.01,0.15,-2,0.002
