Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.03154,18,500,0.025,0.15,-2,-3.2
0.06987,18,500,0.01,0.15,-2,-25.0
0.06987,18,500,0.01,0.15,-2,-31.7
0.06987,18,500,0.01,0.15,-2,-12.53
0.07147,16,500,0.01,0.15,-2,-22.5
0.07147,16,500,0.01,0.15,-2,-12.53
0.07433,24,500,0.01,0.15,-2,-21.08
0.07938,14,500,0.01,0.15,-2,-15.0
0.07938,14,500,0.01,0.15,-2,-17.32
0.08229,22,500,0.01,0.15,-2,-12.53
0.18028,10,500,0.01,0.15,-2,-3.2
0.33559,10,700,0.01,0.15,-2,-12.53
0.66402,18,700,0.01,0.15,-2,-4.88
0.70127,30,300,0.01,0.15,-7,11.97
0.865,20,500,0.01,0.15,-7,35.9
0.87475,16,500,0.01,0.15,-7,59.85
1.80409,18,700,0.025,0.15,-2,39.3
2.18341,22,500,0.025,0.15,-2,4.52
2.69591,18,500,0.01,0.15,-2,9.67
3.33737,14,700,0.025,0.15,-2,64.9
3.33737,14,700,0.025,0.15,-2,55.7
3.4722,18,500,0.025,0.15,-2,27.9
3.4722,18,500,0.025,0.15,-2,7.3
3.67846,22,500,0.025,0.15,-7,86.6
4.19427,16,700,0.0375,0.15,-2,102.0
4.20816,24,500,0.0375,0.15,-2,28.5
4.61926,14,500,0.025,0.15,-2,19.1
4.87686,22,500,0.0375,0.15,-2,26.19
6.24165,30,400,0.02,0.1,-7,64.36
7.18575,10,700,0.0375,0.15,-2,123.0
