Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.5007,18,700,0.01,0.15,-2,-4.88
0.53493,18,500,0.025,0.15,-2,-3.2
0.53938,24,500,0.01,0.15,-2,-21.08
0.587,10,700,0.01,0.15,-2,-12.53
0.62076,10,500,0.01,0.15,-2,-3.2
0.65277,22,500,0.01,0.15,-2,-12.53
0.65855,18,500,0.01,0.15,-2,-25.0
0.65855,18,500,0.01,0.15,-2,-31.7
0.65855,18,500,0.01,0.15,-2,-12.53
0.67564,14,500,0.01,0.15,-2,-17.32
0.67564,14,500,0.01,0.15,-2,-15.0
0.67615,16,500,0.01,0.15,-2,-12.53
0.67615,16,500,0.01,0.15,-2,-22.5
0.70748,20,500,0.01,0.15,-7,35.9
0.72633,16,500,0.01,0.15,-7,59.85
0.72898,18,500,0.01,0.15,-2,9.67
0.88119,18,500,0.025,0.15,-2,7.3
0.88119,18,500,0.025,0.15,-2,27.9
0.89269,22,500,0.025,0.15,-2,4.52
0.94487,14,500,0.025,0.15,-2,19.1
0.9708,22,500,0.025,0.15,-7,86.6
1.02627,18,700,0.025,0.15,-2,39.3
1.24021,14,700,0.025,0.15,-2,64.9
1.24021,14,700,0.025,0.15,-2,55.7
2.18551,22,500,0.0375,0.15,-2,26.19
2.30174,16,700,0.0375,0.15,-2,102.0
2.37813,24,500,0.0375,0.15,-2,28.5
2.86487,30,400,0.02,0.1,-7,64.36
3.9281,10,700,0.0375,0.15,-2,123.0
4.1298,30,300,0.01,0.15,-7,11.97
