MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.00297,18,500,0.01,0.15,-2,0.111
0.00835,14,700,0.025,0.15,-2,0.1
0.01055,20,500,0.01,0.15,-7,0.105
0.02624,16,500,0.01,0.15,-2,0.08
0.03993,24,500,0.0375,0.15,-2,0.061
0.04064,18,700,0.025,0.15,-2,0.135
0.04834,18,500,0.025,0.15,-2,0.054
0.04897,18,500,0.01,0.15,-2,0.157
0.05357,24,500,0.01,0.15,-2,0.056
0.05623,22,500,0.0375,0.15,-2,0.042
0.0607,14,500,0.01,0.15,-2,0.043
0.06475,14,500,0.025,0.15,-2,0.034
0.06829,16,500,0.01,0.15,-7,0.178
0.07735,14,700,0.025,0.15,-2,0.169
0.07831,16,700,0.0375,0.15,-2,0.12
0.0837,14,500,0.01,0.15,-2,0.02
0.08764,10,700,0.01,0.15,-2,0.012
0.09234,18,500,0.025,0.15,-2,0.01
0.09417,10,500,0.01,0.15,-2,0.002
0.09424,16,500,0.01,0.15,-2,0.012
0.09603,18,500,0.01,0.15,-2,0.012
0.09764,22,500,0.01,0.15,-2,0.012
0.09995,22,500,0.025,0.15,-2,0.003
0.10034,18,500,0.025,0.15,-2,0.002
0.10103,18,500,0.01,0.15,-2,0.007
0.10241,18,700,0.01,0.15,-2,0.002
0.10581,30,400,0.02,0.1,-7,0.216
0.11435,10,700,0.0375,0.15,-2,0.148
0.13203,30,300,0.01,0.15,-7,0.013
0.22197,22,500,0.025,0.15,-7,0.35
