Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.08297,18,500,0.025,0.15,-2,-3.2
0.24154,16,500,0.01,0.15,-2,-12.53
0.24154,16,500,0.01,0.15,-2,-22.5
0.24535,14,500,0.01,0.15,-2,-17.32
0.24535,14,500,0.01,0.15,-2,-15.0
0.2482,18,500,0.01,0.15,-2,-12.53
0.2482,18,500,0.01,0.15,-2,-25.0
0.2482,18,500,0.01,0.15,-2,-31.7
0.25141,24,500,0.01,0.15,-2,-21.08
0.25618,22,500,0.01,0.15,-2,-12.53
0.32419,10,500,0.01,0.15,-2,-3.2
0.47543,18,700,0.01,0.15,-2,-4.88
0.60953,10,700,0.01,0.15,-2,-12.53
0.94225,16,500,0.01,0.15,-7,59.85
0.98617,20,500,0.01,0.15,-7,35.9
1.08206,30,300,0.01,0.15,-7,11.97
1.51507,18,500,0.01,0.15,-2,9.67
1.73681,30,400,0.02,0.1,-7,64.36
1.90398,22,500,0.025,0.15,-7,86.6
1.96637,22,500,0.025,0.15,-2,4.52
1.98371,24,500,0.0375,0.15,-2,28.5
2.17198,18,700,0.025,0.15,-2,39.3
2.18105,16,700,0.0375,0.15,-2,102.0
2.2449,10,700,0.0375,0.15,-2,123.0
2.28884,22,500,0.0375,0.15,-2,26.19
2.29865,14,700,0.025,0.15,-2,55.7
2.29865,14,700,0.025,0.15,-2,64.9
2.53052,18,500,0.025,0.15,-2,27.9
2.53052,18,500,0.025,0.15,-2,7.3
2.70205,14,500,0.025,0.15,-2,19.1
