MAE,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),"PF at 77oC, mW/m K2"
0.0011,14,500,0.01,0.15,-2,0.043
0.00529,10,700,0.01,0.15,-2,0.012
0.01788,16,700,0.0375,0.15,-2,0.12
0.01903,24,500,0.01,0.15,-2,0.056
0.02188,20,500,0.01,0.15,-7,0.105
0.0241,14,500,0.01,0.15,-2,0.02
0.02972,10,500,0.01,0.15,-2,0.002
0.02972,16,500,0.01,0.15,-2,0.08
0.03419,14,700,0.025,0.15,-2,0.1
0.03828,16,500,0.01,0.15,-2,0.012
0.03862,18,500,0.025,0.15,-2,0.054
0.04004,18,700,0.01,0.15,-2,0.002
0.04447,18,500,0.01,0.15,-2,0.012
0.04624,14,500,0.025,0.15,-2,0.034
0.04947,18,500,0.01,0.15,-2,0.007
0.05453,18,500,0.01,0.15,-2,0.111
0.05681,18,700,0.025,0.15,-2,0.135
0.05684,22,500,0.01,0.15,-2,0.012
0.06349,16,500,0.01,0.15,-7,0.178
0.06444,10,700,0.0375,0.15,-2,0.148
0.0803,24,500,0.0375,0.15,-2,0.061
0.08262,18,500,0.025,0.15,-2,0.01
0.09062,18,500,0.025,0.15,-2,0.002
0.09225,30,400,0.02,0.1,-7,0.216
0.09311,22,500,0.0375,0.15,-2,0.042
0.10053,18,500,0.01,0.15,-2,0.157
0.10199,22,500,0.025,0.15,-2,0.003
0.10319,14,700,0.025,0.15,-2,0.169
0.15925,30,300,0.01,0.15,-7,0.013
0.18078,22,500,0.025,0.15,-7,0.35
