Sample,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Double Shot?,Scan Statagy,Fail?,Sent to,file name,Repeat of sample
1,19,300,0.01,0.15,-7,N,Bilateral,N,,,
2,19,350,0.01,0.15,-7,N,Bilateral,N,,,
3,19,400,0.01,0.15,-7,N,Bilateral,N,,,
4,19,450,0.01,0.15,-7,N,Bilateral,N,,,
5,19,500,0.01,0.15,-7,N,Bilateral,N,,,
6,13,300,0.01,0.15,-7,N,Bilateral,Y,,,
7,13,350,0.01,0.15,-7,N,Bilateral,N,,,
8,13,400,0.01,0.15,-7,N,Bilateral,Y,,,
9,13,450,0.01,0.15,-7,N,Bilateral,N,,,
10,13,500,0.01,0.15,-7,N,Bilateral,Y,,,
11,16,300,0.01,0.15,-7,N,Bilateral,Y,,,
12,16,350,0.01,0.15,-7,N,Bilateral,Y,,,
13,16,400,0.01,0.15,-7,N,Bilateral,N,,,
14,16,450,0.01,0.15,-7,N,Bilateral,Y,,,
15,16,500,0.01,0.15,-7,N,Bilateral,N,,,
16,20,300,0.01,0.15,-7,N,Bilateral,Y,,,
17,20,350,0.01,0.15,-7,N,Bilateral,Y,,,
18,20,400,0.01,0.15,-7,N,Bilateral,Y,,,
19,20,450,0.01,0.15,-7,N,Bilateral,Y,,,
20,20,500,0.01,0.15,-7,N,Bilateral,Y,,,
21,25,300,0.01,0.15,-7,N,Bilateral,Y,,,
22,25,350,0.01,0.15,-7,N,Bilateral,Y,,,
23,25,400,0.01,0.15,-7,N,Bilateral,Y,,,
24,25,450,0.01,0.15,-7,N,Bilateral,Y,,,
25,25,500,0.01,0.15,-7,N,Bilateral,Y,,,
26,30,300,0.01,0.15,-7,N,Bilateral,N,Saniya,,
27,30,350,0.01,0.15,-7,N,Bilateral,N,,,
28,30,400,0.01,0.15,-7,N,Bilateral,N,,,
29,30,450,0.01,0.15,-7,N,Bilateral,N,,,
30,30,500,0.01,0.15,-7,N,Bilateral,N,,,
31,20,300,0.02,0.1,-7,N,Bilateral,N,,,
32,20,350,0.02,0.1,-7,N,Bilateral,N,Saniya,,
33,20,400,0.02,0.1,-7,N,Bilateral,N,,,
34,20,450,0.02,0.1,-7,N,Bilateral,N,,,
35,20,500,0.02,0.1,-7,N,Bilateral,N,,,
36,25,300,0.02,0.1,-7,N,Bilateral,N,,,
37,25,350,0.02,0.1,-7,N,Bilateral,N,,,
38,25,400,0.02,0.1,-7,N,Bilateral,N,,,
39,25,450,0.02,0.1,-7,N,Bilateral,N,Saniya,,
40,25,500,0.02,0.1,-7,N,Bilateral,N,,,
41,30,300,0.02,0.1,-7,N,Bilateral,N,,,
42,30,350,0.02,0.1,-7,N,Bilateral,N,Saniya,,
43,30,400,0.02,0.1,-7,N,Bilateral,N,Saniya,,
44,30,450,0.02,0.1,-7,N,Bilateral,N,,,
45,30,500,0.02,0.1,-7,Y,Bilateral,N,,,
46,20,300,0.02,0.15,-7,Y,Bilateral,N,,,
47,20,350,0.02,0.15,-7,Y,Bilateral,N,,,
48,20,400,0.02,0.15,-7,Y,Bilateral,N,,,
49,20,450,0.02,0.15,-7,Y,Bilateral,N,,,
